municipio_id,Municipio,Capital,UF
2106409,Mata Roma,Falso,MA
2100436,Alto Alegre do Maranhão,Falso,MA
2102754,Capinzal do Norte,Falso,MA
2103307,Codó,Falso,MA
2103604,Coroatá,Falso,MA
2112100,Timbiras,Falso,MA
2108454,Peritoró,Falso,MA
2100303,Aldeias Altas,Falso,MA
2103406,Coelho Neto,Falso,MA
2100105,Afonso Cunha,Falso,MA
2103901,Duque Bacelar,Falso,MA
2111078,São João do Soter,Falso,MA
2103000,Caxias,Falso,MA
2107803,Parnarama,Falso,MA
2106607,Matões,Falso,MA
2112209,Timon,Falso,MA
2102309,Buriti Bravo,Falso,MA
2110906,São Francisco do Maranhão,Falso,MA
2107704,Paraibano,Falso,MA
2107902,Passagem Franca,Falso,MA
2101509,Barão de Grajaú,Falso,MA
2108009,Pastos Bons,Falso,MA
2107308,Nova Iorque,Falso,MA
2111102,São João dos Patos,Falso,MA
2105922,Lagoa do Mato,Falso,MA
2111953,Sucupira do Riachão,Falso,MA
2103505,Colinas,Falso,MA
2106706,Mirador,Falso,MA
2105450,Jatobá,Falso,MA
2111904,Sucupira do Norte,Falso,MA
2102556,Campestre do Maranhão,Falso,MA
2104057,Estreito,Falso,MA
2109007,Porto Franco,Falso,MA
2111052,São João do Paraíso,Falso,MA
2111573,São Pedro dos Crentes,Falso,MA
2102804,Carolina,Falso,MA
2100501,Alto Parnaíba,Falso,MA
2112001,Tasso Fragoso,Falso,MA
2109502,Riachão,Falso,MA
2101400,Balsas,Falso,MA
2104073,Feira Nova do Maranhão,Falso,MA
2101806,Benedito Leite,Falso,MA
2110658,São Domingos do Azeitão,Falso,MA
2107258,Nova Colinas,Falso,MA
2106102,Loreto,Falso,MA
2109700,Sambaíba,Falso,MA
2110807,São Félix de Balsas,Falso,MA
2111607,São Raimundo das Mangabeiras,Falso,MA
2104107,Fortaleza dos Nogueiras,Falso,MA
2206209,Miguel Alves,Falso,MA
2206803,Nossa Senhora dos Remédios,Falso,PI
2202174,Campo Largo do Piauí,Falso,PI
2202059,Cabeceiras do Piauí,Falso,PI
2201770,Boa Hora,Falso,PI
2208502,Porto,Falso,PI
2201200,Barras,Falso,PI
2208403,Piripiri,Falso,PI
2201960,Brasileira,Falso,PI
2206670,Morro do Chapéu do Piauí,Falso,PI
2205458,Joca Marques,Falso,PI
2209971,São João do Arraial,Falso,PI
2205854,Madeiro,Falso,PI
2205805,Luzilândia,Falso,PI
2201507,Batalha,Falso,PI
2203701,Esperantina,Falso,PI
2205409,Joaquim Pires,Falso,PI
2206100,Matias Olímpio,Falso,PI
2202703,Cocal,Falso,PI
2202083,Cajueiro da Praia,Falso,PI
2204659,Ilha Grande,Falso,PI
2202653,Caxingó,Falso,PI
2205706,Luís Correia,Falso,PI
2201919,Bom Princípio do Piauí,Falso,PI
2202729,Cocal dos Alves,Falso,PI
2202000,Buriti dos Lopes,Falso,PI
2206696,Murici dos Portelas,Falso,PI
2202539,Caraúbas do Piauí,Falso,PI
2207702,Parnaíba,Falso,PI
2210052,São José do Divino,Falso,PI
2209872,São João da Fronteira,Falso,PI
2208304,Piracuruca,Falso,PI
2206407,Monsenhor Gil,Falso,PI
2211001,Teresina,Verdadeiro,PI
2203255,Curralinhos,Falso,PI
2205508,José de Freitas,Falso,PI
2211100,União,Falso,PI
2201606,Beneditinos,Falso,PI
2200400,Altos,Falso,PI
2203305,Demerval Lobão,Falso,PI
2205581,Lagoa do Piauí,Falso,PI
2207793,Pau D'Arco do Piauí,Falso,PI
2202737,Coivaras,Falso,PI
2205557,Lagoa Alegre,Falso,PI
2206720,Nazária,Falso,PI
2206308,Miguel Leão,Falso,PI
2206951,Novo Santo Antônio,Falso,PI
2200301,Alto Longá,Falso,PI
2201945,Boqueirão do Piauí,Falso,PI
2206753,Nossa Senhora de Nazaré,Falso,PI
2202711,Cocal de Telha,Falso,PI
2202026,Buriti dos Montes,Falso,PI
2209906,São João da Serra,Falso,PI
